sent_A,sent_B,category,label
Pada awalnya bangsa Israel hanya terdiri dari satu kelompok keluarga di antara banyak kelompok keluarga yang hidup di tanah Kan’an pada abad 18 SM .,Pada awalnya bangsa Yahudi hanya terdiri dari satu kelompok keluarga di antara banyak kelompok keluarga yang hidup di tanah Kan’an pada abad 18 SM .,menolak perubahan teks terakhir oleh istimewa kontribusi pengguna 141 109 98 87 141 109 98 87 dan mengembalikan revisi 6958053 oleh johnthorne,NotEntail
"Salah satu tekniknya adalah periplus , deskripsi pada pelabuhan dan daratan sepanjang garis pantai yang bisa dilihat pelaut di lepas pantai ; contoh pertamanya adalah Hanno sang Navigator dari Carthaginia dan satu lagi dari Laut Erythraea , keduanya selamat di laut menggunakan teknik periplus dengan mengenali garis pantai laut Merah dan Teluk Persi .",Bangsa Romawi memberi sumbangan pada pemetaan karena mereka banyak menjelajahi negeri dan menambahkan teknik baru .,sejarah geografi,NotEntail
Etnolinguistik antropologi adalah ilmu yang mempelajari pelukisan tentang ciri dan tata bahasa dan beratus-ratus bahasa suku-suku bangsa yang ada di dunia / bumi .,Etnolinguistik antropologi adalah ilmu yang mempelajari suku-suku bangsa yang ada di dunia / bumi .,definisi anthropologi menurut para ahli,NotEntail
"Sekarang , tidak ada yang tahu pasti kapan sejarah dimulai .",Sejarah dimulai pada awal penciptaan manusia .,1 penggantian istilah quot prasejarah quot dengan istilah quot praaksara quot dengan alasan bahwa istilah praaksara lebih tepat sebagai sebutan untuk masa dimana manusia belum mengenal tulisan 2 bahwa quot sejarah dimulai pada awal penciptaan awal manusia quot,NotEntail
"Soekarno tidak memilih bahasanya sendiri , Jawa ( yang sebenarnya juga bahasa mayoritas pada saat itu ) namun memilih Bahasa Indonesia yang dia dasarkan dari Bahasa Melayu yang dituturkan di Riau .","Dengan memilih Bahasa Melayu , para pejuang kemerdekaan bersatu lagi seperti pada masa Islam berkembang di Indonesia namun kali ini dengan tujuan persatuan dan kebangsaan .",bahasa indonesia,NotEntail
Kanak-kanak biasanya sembuh lebih cepat berbanding orang dewasa .,Anak-anak biasanya sembuh lebih cepat dibandingkan orang dewasa .,←suntingan special contributions 175 142 22 67 175 142 22 67 user talk 175 142 22 67 bicara dibatalkan ke versi terakhir oleh user ign christian ign christian,Entail_or_Paraphrase
Banyak orang yang menangap yahudi adalah semua musuh agama termasuk umat Christian .,Tetapi orang yahudi terlibat banyak dosa dan kebodohan .,menolak perubahan teks terakhir oleh istimewa kontribusi pengguna sandreyadam sandreyadam dan mengembalikan revisi 8080209 oleh mimihitam,NotEntail
Sitosol sel eukariota mengandung jaringan protein serat yang disebut sitoskeleton yang mempertahankan bentuk sel dan mengendalikan pergerakan struktur di dalam sel .,Jaringan protein serat sitoskeleton mempertahankan bentuk sel dan mengendalikan pergerakan struktur di dalam sel eukariota .,tambah,Entail_or_Paraphrase
"Diperkirakan sebanyak 4.000 orang tewas dalam peristiwa tersebut , meskipun Belanda telah memerintahkan mereka untuk menyerah .","Diperkirakan sebanyak 1 orang tewas dalam peristiwa tersebut , meskipun Belanda telah memerintahkan mereka untuk menyerah .",sejarah,NotEntail
"Provinsi Aceh , Daerah Istimewa Yogyakarta , Provinsi Papua Barat , dan Provinsi Papua memiliki hak istimewa legislatur yang lebih besar dan tingkat otonomi yang lebih tinggi dibandingkan provinsi lainnya .","Provinsi Aceh , Daerah Istimewa Yogyakarta , Papua Barat , dan Papua memiliki hak istimewa legislatur yang lebih besar dan tingkat otonomi yang lebih tinggi dibandingkan provinsi lainnya .",jumlah provinsi di indonesia secara de facto 34 provinsi dan secara de jure hanya 33 provinsi karena daerah istimewa yogyakarta berdasarkan undang undang nomor 13 tahun 2012 dan undang undang nomer 3 tahun 1950 adalah daerah otonomi setingkat provinsi,Entail_or_Paraphrase
"Setelah perang Pasifik berakhir pada tahun 1945 , di bawah tekanan organisasi pemuda , Soekarno-Hatta memproklamasikan kemerdekaan Indonesia pada tanggal 17 Agustus 1945 yang pada saat itu sedang bulan Ramadhan .","Setelah kemerdekaan , tiga pendiri bangsa yakni Soekarno , Mohammad Hatta , dan Sutan Sjahrir masing-masing menjabat sebagai presiden , wakil presiden , dan perdana menteri .",indonesia merdeka,NotEntail
Indonesia termasuk anggota dari Bahasa Melayu-Polinesia Timur sub kelompok dari bahasa Melayu-Polinesia yang pada gilirannya merupakan cabang dari bahasa Austronesia .,Indonesia termasuk anggota dari Bahasa Melayu-Polinesia Barat sub kelompok dari bahasa Melayu-Polinesia yang pada gilirannya merupakan cabang dari bahasa Austronesia .,klasifikasi betulkan yang salah,NotEntail
Orang-orang Yahudi yang gila kekuasaan dan berdiaspora telah lama bercita-cita untuk kembali ke Zion dan Tanah Israel .,Orang-orang Yahudi yang berdiaspora telah bercita-cita untuk kembali ke Zion dan Tanah Israel .,zionisme dan mandat britania,Entail_or_Paraphrase
"Dalam novel-novel tersebut , dikisahkan mengenai persinggungan pemuda perantau Minang dengan adat budaya Barat .","Dalam novel-novel tersebut , dikisahkan mengenai persinggungan pemuda perantau Minang dengan budaya Barat .",merantau dalam sastra,Entail_or_Paraphrase
Piranti lunak atau perangkat lunak adalah program komputer yang berfungsi sebagai sarana interaksi antara pengguna dan perangkat keras .,Perangkat lunak atau piranti lunak adalah program komputer yang berfungsi sebagai sarana interaksi antara pengguna dan perangkat keras .,iw,Entail_or_Paraphrase
"Di dataran tinggi Golan , garis pertahanan Israel yang hanya berjumlah 180 tank harus berhadapan dengan 1400 tank Suriah .","Sedangkan di terusan Suez , kurang dari 500 prajurit Israel berhadapan dengan 80.000 prajurit Mesir .",jalannya perang,NotEntail
"Seperti anak laki-laki lain yang berasal dari kelas atas di masa itu , masa kecilnya kebanyakan dihabiskan di asrama sekolah .","Seperti anak laki-laki lain yang berasal dari kelas atas pada masa itu , masa kecilnya kebanyakan dihabiskan di asrama sekolah .",bot penggantian teks otomatis di masa pada masa di masa pada masa di masa pada masa,Entail_or_Paraphrase
"Setelah kemerdekaan , empat orang Minangkabau duduk sebagai perdana menteri ( Sutan Syahrir , Mohammad Hatta , Abdul Halim , Muhammad Natsir ) , seorang sebagai wakil presiden ( Mohammad Hatta ) , seorang sebagai presiden Republik Indonesia dibawah RIS ( Assaat ) , seorang menjadi pimpinan parlemen ( Chaerul Saleh ) , dan puluhan yang menjadi menteri , di antara yang cukup terkenal ialah Agus Salim dan Muhammad Yamin .","Empat orang duduk sebagai perdana menteri ( Sutan Syahrir , Mohammad Hatta , Abdul Halim , Muhammad Natsir ) , seorang sebagai wakil presiden ( Mohammad Hatta ) , seorang sebagai presiden Republik Indonesia dibawah RIS ( Assaat ) , seorang menjadi pimpinan parlemen ( Chaerul Saleh ) , dan puluhan yang menjadi menteri , di antara yang cukup terkenal ialah Agus Salim dan Muhammad Yamin .",orang minangkabau dan pencapaiannya,Entail_or_Paraphrase
"Hal ini bertujuan untuk efisiensi kerja , karena dengan banyaknya organ tubuh menjadikan pembagian kerja akan semakin efektif .","Hal ini bertujuan untuk efisiensi kerja , karena dengan banyaknya organ tubuh maka pembagian kerja akan semakin efektif .",organ hewan fx,Entail_or_Paraphrase
"Secara tradisi , penggunaan berbagai dialek bahasa Bali ditentukan berdasarkan sistem catur warna dalam agama Hindu Dharma dan keanggotan klan ; meskipun pelaksanaan tradisi tersebut cenderung berkurang .","Secara tradisi , penggunaan berbagai dialek bahasa Bali ditentukan berdasarkan sistem catur warna dalam agama Hindu Dharma ; meskipun pelaksanaan tradisi tersebut cenderung berkurang .",demografi,Entail_or_Paraphrase
